"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","nodename","nodenum","density","metric","term","std.error"
"1",123.950767735072,262.795578281987,138.844810546916,2.97383343096469,0.00456825821457342,48.5904982289249,40.1728733816956,207.728662088447,"Welch Two Sample t-test","two.sided","Left Anterior Cingulate Cortex",111,0.15,"betweenness.node",NA,NA
"2",574.174476118964,1011.44304151788,437.268565398921,2.99167308699547,0.00412504976785331,55.81396532797,189.675814441203,958.673137796725,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.03,"betweenness.node",NA,NA
"3",699.389598241331,1140.38626843409,440.996670192762,4.08239801986063,0.000160310311038655,50.0787975028448,355.300026380945,1043.47917010172,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.04,"betweenness.node",NA,NA
"4",570.98888693831,983.072776870464,412.083889932154,3.9973547108478,0.000210359084005956,50.1449858416885,284.10346867479,857.874305201831,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.05,"betweenness.node",NA,NA
"5",437.494073049519,885.622629619403,448.128556569884,3.60485989360682,0.000670527885446046,55.3257389415524,194.310779468442,680.677366630596,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.06,"betweenness.node",NA,NA
"6",358.314783249008,823.355341803241,465.040558554234,3.35028023829319,0.00138255214806912,61.5968756234204,144.495564342293,572.134002155722,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.07,"betweenness.node",NA,NA
"7",392.818772600503,866.211083317658,473.392310717155,3.17542881462069,0.00238710860998848,58.5330852473361,145.242836570009,640.394708630996,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.08,"betweenness.node",NA,NA
"8",368.84148257386,850.988685436184,482.147202862324,2.97952842909364,0.00430822700019856,54.3920393324503,120.694630323892,616.988334823828,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.09,"betweenness.node",NA,NA
"9",202.265511965418,477.486516225055,275.221004259637,2.95022740510739,0.00475961187472467,51.7574569886349,64.6758739182179,339.855150012619,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",59,0.11,"betweenness.node",NA,NA
"10",111.281286162976,329.043370575773,217.762084412797,2.94890487536717,0.00449087167081377,62.0725681399175,35.8488942065274,186.713678119425,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",59,0.17,"betweenness.node",NA,NA
"11",153.928118948464,444.893709621401,290.965590672937,3.25000289906719,0.00175057855134217,72.5769226589418,59.5256094736364,248.330628423291,"Welch Two Sample t-test","two.sided","Left Middle Cingulate Cortex",15,0.19,"betweenness.node",NA,NA
"12",106.869765262313,280.276348731234,173.406583468921,2.92197178218042,0.00469238580144269,69.3164059873274,33.9115015286228,179.828028996003,"Welch Two Sample t-test","two.sided","Left Precuneus",77,0.18,"betweenness.node",NA,NA
"13",197.339558463151,405.019511818178,207.679953355026,3.00569375147428,0.00387765440953226,59.4125781261629,65.9828033844652,328.696313541837,"Welch Two Sample t-test","two.sided","Left Temporal Pole",58,0.06,"betweenness.node",NA,NA
"14",190.507120570723,385.707423003866,195.200302433143,3.03699371364724,0.00351175219133809,61.0512656826906,65.0751644952629,315.939076646184,"Welch Two Sample t-test","two.sided","Left Temporal Pole",58,0.07,"betweenness.node",NA,NA
"15",112.127313120992,280.801091116375,168.673777995383,2.99913148290005,0.00373930520071151,70.4914451553945,37.5712395653568,186.683386676627,"Welch Two Sample t-test","two.sided","Left Temporal Pole",58,0.12,"betweenness.node",NA,NA
"16",97.7288668120304,241.047288272583,143.318421460552,3.13151966776286,0.00259840909285148,65.5396855145431,35.4116593308009,160.04607429326,"Welch Two Sample t-test","two.sided","Left Temporal Pole",58,0.19,"betweenness.node",NA,NA
"17",96.0691844771317,227.147130906579,131.077946429448,3.41083024870998,0.00110254517141924,66.8740059137902,39.8478184308323,152.290550523431,"Welch Two Sample t-test","two.sided","Left Temporal Pole",58,0.2,"betweenness.node",NA,NA
"18",-175.680480537081,148.81680195359,324.497282490672,-3.01390749218378,0.00386522692435285,56.163221265259,-292.441769447388,-58.919191626774,"Welch Two Sample t-test","two.sided","Right Caudate Nucleus",233,0.1,"betweenness.node",NA,NA
"19",128.670486084944,178.990750047597,50.3202639626529,3.05236118279785,0.00366185972457727,49.0078792899108,43.9583712480785,213.382600921809,"Welch Two Sample t-test","two.sided","Right Lingual Gyrus",158,0.03,"betweenness.node",NA,NA
"20",93.8457074367938,153.406690635528,59.5609831987343,3.04560901223031,0.00360372758118414,53.3497370157931,32.0512189983621,155.640195875225,"Welch Two Sample t-test","two.sided","Right Lingual Gyrus",158,0.05,"betweenness.node",NA,NA
"21",97.9912789766297,118.228298870557,20.2370198939274,3.20952032700569,0.00250522365635039,43.3031252704838,36.4312229925587,159.551334960701,"Welch Two Sample t-test","two.sided","Right Ventral Striatum",268,0.07,"betweenness.node",NA,NA
"22",253.059275087301,414.939967558104,161.880692470802,3.27106951922711,0.00179827762187086,58.5603822835623,98.2322418391771,407.886308335425,"Welch Two Sample t-test","two.sided","Within 1 mm: Left Heschls Gyrus",73,0.06,"betweenness.node",NA,NA
"23",198.137795407065,386.072234204697,187.934438797633,2.9638269290479,0.0042382280526404,65.2331108545579,64.6341508674068,331.641439946723,"Welch Two Sample t-test","two.sided","Within 1 mm: Left Heschls Gyrus",73,0.07,"betweenness.node",NA,NA
"24",12.2801282051282,42.2051282051282,29.925,2.93085451475668,0.00446472833887983,75.8559548354282,3.93486713018526,20.6253892800711,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.07,"degree",NA,NA
"25",13.2128205128205,47.5128205128205,34.3,2.92959928894973,0.00449491393353958,74.9552832068477,4.22812909552376,22.1975119301173,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.08,"degree",NA,NA
"26",13.8641025641026,52.5641025641026,38.7,2.90434334605937,0.00486103082664477,73.3092815598497,4.35105623408641,23.3771488941187,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.09,"degree",NA,NA
"27",15.1730769230769,57.9230769230769,42.75,3.05536859946085,0.00313040634039201,73.5722686887537,5.2770740245113,25.0690798216425,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.1,"degree",NA,NA
"28",15.6128205128205,62.5128205128205,46.9,3.00742335998734,0.00362240116671819,72.3205145424595,5.26468235129359,25.9609586743474,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.11,"degree",NA,NA
"29",15.7653846153846,66.6153846153846,50.85,2.92354856771558,0.0046128292373898,72.5896514372074,5.01702243480725,26.513746795962,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.12,"degree",NA,NA
"30",17.1589743589744,80.3589743589744,63.2,2.9286657835539,0.00456447020480921,71.4867857914335,5.47789200239272,28.840056715556,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.15,"degree",NA,NA
"31",17.9141025641026,84.5641025641026,66.65,3.01515206301021,0.00354972431534458,71.7625815186589,6.06954923490026,29.7586558933049,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.16,"degree",NA,NA
"32",18.5128205128205,88.5128205128205,70,3.07192457901604,0.00300521327389651,71.6914293748853,6.4984151280667,30.5272258975743,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.17,"degree",NA,NA
"33",19.400641025641,93.025641025641,73.625,3.17892411246318,0.0021808823456307,71.8875344031526,7.23441640785667,31.5668656434254,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.18,"degree",NA,NA
"34",19.1858974358974,96.4358974358974,77.25,3.03825216550354,0.00332315770760018,71.3690967146823,6.59570984210384,31.776085029691,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.19,"degree",NA,NA
"35",19.8397435897436,100.589743589744,80.75,3.07785038651335,0.00295862991802729,71.2696069152241,6.98767899385021,32.691808185637,"Welch Two Sample t-test","two.sided","Left Rolandic Operculum",64,0.2,"degree",NA,NA
